TICKER;VALUE
EUR1D/10M;0.98328
EUR1D/10Y;0.75511
EUR1D/11M;0.98158
EUR1D/11Y;0.72904
EUR1D/12M;0.97993
EUR1D/12Y;0.70334
EUR1D/13M;0.97827
EUR1D/13Y;0.67815
EUR1D/14M;0.97671
EUR1D/15M;0.97491
EUR1D/15Y;0.63016
EUR1D/16M;0.97315
EUR1D/17M;0.97137
EUR1D/17Y;0.58631
EUR1D/18M;0.96964
EUR1D/1M;0.99826
EUR1D/1W;0.99961
EUR1D/20Y;0.52749
EUR1D/21M;0.96423
EUR1D/25Y;0.44711
EUR1D/2M;0.9967
EUR1D/2W;0.99922
EUR1D/2Y;0.95876
EUR1D/30Y;0.38234
EUR1D/35Y;0.32837
EUR1D/3D;0.99983
EUR1D/3M;0.99497
EUR1D/3W;0.99882
EUR1D/3Y;0.93566
EUR1D/40Y;0.28441
EUR1D/4M;0.99326
EUR1D/4Y;0.91111
EUR1D/50Y;0.22109
EUR1D/5M;0.99167
EUR1D/5Y;0.88614
EUR1D/6M;0.98992
EUR1D/6Y;0.86046
EUR1D/7M;0.98829
EUR1D/7Y;0.8344
EUR1D/8M;0.98655
EUR1D/8Y;0.80805
EUR1D/9M;0.98492
EUR1D/9Y;0.78164
EUR1D/1D;0.99994
EUR1D/2D;0.99989
