Expiry;UnderlyingTenor;Strike;Volatility
1M;1Y;-350bp;0.014774
1M;1Y;-300bp;0.013206
1M;1Y;-250bp;0.01159
1M;1Y;-200bp;0.009916
1M;1Y;-150bp;0.008164
1M;1Y;-100bp;0.006301
1M;1Y;-75bp;0.005311
1M;1Y;-50bp;0.004266
1M;1Y;-25bp;0.003159
1M;1Y;ATM;0.002196
1M;1Y;25bp;0.002647
1M;1Y;50bp;0.003598
1M;1Y;75bp;0.004531
1M;1Y;100bp;0.005425
1M;1Y;150bp;0.00712
1M;1Y;200bp;0.008722
1M;1Y;250bp;0.010258
1M;1Y;300bp;0.011743
1M;1Y;350bp;0.013188
1M;2Y;-350bp;0.017335
1M;2Y;-300bp;0.015557
1M;2Y;-250bp;0.013725
1M;2Y;-200bp;0.011825
1M;2Y;-150bp;0.009838
1M;2Y;-100bp;0.007731
1M;2Y;-75bp;0.006617
1M;2Y;-50bp;0.005456
1M;2Y;-25bp;0.004267
1M;2Y;ATM;0.003337
1M;2Y;25bp;0.003673
1M;2Y;50bp;0.004653
1M;2Y;75bp;0.005683
1M;2Y;100bp;0.006689
1M;2Y;150bp;0.008612
1M;2Y;200bp;0.010437
1M;2Y;250bp;0.012187
1M;2Y;300bp;0.013879
1M;2Y;350bp;0.015525
1M;3Y;-350bp;0.017004
1M;3Y;-300bp;0.015302
1M;3Y;-250bp;0.01355
1M;3Y;-200bp;0.011734
1M;3Y;-150bp;0.009838
1M;3Y;-100bp;0.007839
1M;3Y;-75bp;0.006792
1M;3Y;-50bp;0.00572
1M;3Y;-25bp;0.004675
1M;3Y;ATM;0.003977
1M;3Y;25bp;0.004295
1M;3Y;50bp;0.005184
1M;3Y;75bp;0.006165
1M;3Y;100bp;0.007141
1M;3Y;150bp;0.009023
1M;3Y;200bp;0.010816
1M;3Y;250bp;0.012539
1M;3Y;300bp;0.014204
1M;3Y;350bp;0.015824
1M;4Y;-350bp;0.0166
1M;4Y;-300bp;0.014969
1M;4Y;-250bp;0.01329
1M;4Y;-200bp;0.011552
1M;4Y;-150bp;0.009743
1M;4Y;-100bp;0.007846
1M;4Y;-75bp;0.006865
1M;4Y;-50bp;0.00588
1M;4Y;-25bp;0.004969
1M;4Y;ATM;0.004457
1M;4Y;25bp;0.0048
1M;4Y;50bp;0.005632
1M;4Y;75bp;0.006573
1M;4Y;100bp;0.00752
1M;4Y;150bp;0.009363
1M;4Y;200bp;0.011127
1M;4Y;250bp;0.012823
1M;4Y;300bp;0.014464
1M;4Y;350bp;0.016058
1M;5Y;-350bp;0.016995
1M;5Y;-300bp;0.015344
1M;5Y;-250bp;0.013646
1M;5Y;-200bp;0.01189
1M;5Y;-150bp;0.010066
1M;5Y;-100bp;0.008164
1M;5Y;-75bp;0.00719
1M;5Y;-50bp;0.006228
1M;5Y;-25bp;0.005377
1M;5Y;ATM;0.004967
1M;5Y;25bp;0.00535
1M;5Y;50bp;0.006188
1M;5Y;75bp;0.007143
1M;5Y;100bp;0.008111
1M;5Y;150bp;0.010004
1M;5Y;200bp;0.011821
1M;5Y;250bp;0.01357
1M;5Y;300bp;0.015262
1M;5Y;350bp;0.016907
1M;6Y;-350bp;0.016884
1M;6Y;-300bp;0.015248
1M;6Y;-250bp;0.013565
