Method,H,Expiry,Alpha,Rho,Nu,RMSE_bps,RMSE_global_bps
AMMO_ODE,0.05,1.0,0.00429050329087063,0.005327609320362139,0.3798397681992699,6.398790860701395,3.2509209520803792
AMMO_ODE,0.05,1.5,0.004991974189691096,-0.05969352784784022,0.3798397681992699,5.155116723180862,3.2509209520803792
AMMO_ODE,0.05,2.0,0.005375770596678207,-0.11205333046507444,0.3798397681992699,1.7632746615912473,3.2509209520803792
AMMO_ODE,0.05,3.0,0.005912441784926693,-0.12583179711091697,0.3798397681992699,0.30131125303104367,3.2509209520803792
AMMO_ODE,0.05,4.0,0.006220986583913646,-0.13460879184237518,0.3798397681992699,1.635571744056227,3.2509209520803792
AMMO_ODE,0.05,5.0,0.006419408534569986,-0.14210798686483955,0.3798397681992699,3.004665243950243,3.2509209520803792
AMMO_ODE,0.05,6.0,0.006498586778341381,-0.14598333150624088,0.3798397681992699,3.3103980705006695,3.2509209520803792
AMMO_ODE,0.05,7.0,0.006545468558524545,-0.14473682540472416,0.3798397681992699,3.802811982694764,3.2509209520803792
AMMO_ODE,0.05,8.0,0.0065820506853823315,-0.14691871070280602,0.3798397681992699,3.577903978642054,3.2509209520803792
AMMO_ODE,0.05,9.0,0.006599062509182754,-0.14830483302893133,0.3798397681992699,3.4735436309729817,3.2509209520803792
AMMO_ODE,0.05,10.0,0.006556368435868223,-0.1470529034075625,0.3798397681992699,3.170208987668934,3.2509209520803792
AMMO_ODE,0.05,12.0,0.006516054720943513,-0.14792501157561103,0.3798397681992699,3.040612686213114,3.2509209520803792
AMMO_ODE,0.05,15.0,0.006388551641701616,-0.14466074835786794,0.3798397681992699,2.5553630182561498,3.2509209520803792
AMMO_ODE,0.05,20.0,0.006169040852426254,-0.1396579570109653,0.3798397681992699,2.2294459647774154,3.2509209520803792
AMMO_ODE,0.05,25.0,0.005975416041518144,-0.14478720613131926,0.3798397681992699,1.7907436768725806,3.2509209520803792
AMMO_ODE,0.05,30.0,0.005885855584385116,-0.1483244654591203,0.3798397681992699,1.5438154050310775,3.2509209520803792
AMMO_ODE,0.1,1.0,0.0043125277973575455,0.006333666149465609,0.4653799459498929,8.832803892266815,4.146357376267398
AMMO_ODE,0.1,1.5,0.005010393570743426,-0.06715212385030175,0.4653799459498929,6.593733580247055,4.146357376267398
AMMO_ODE,0.1,2.0,0.005389973883453878,-0.12508419287263461,0.4653799459498929,2.650555669875776,4.146357376267398
AMMO_ODE,0.1,3.0,0.00591763216800719,-0.13825082381048656,0.4653799459498929,0.06604318338406485,4.146357376267398
AMMO_ODE,0.1,4.0,0.006217916569102183,-0.14666898057301306,0.4653799459498929,1.751886419431552,4.146357376267398
AMMO_ODE,0.1,5.0,0.006408994622150163,-0.15409209656491146,0.4653799459498929,3.3342520397402633,4.146357376267398
AMMO_ODE,0.1,6.0,0.006481596724883307,-0.15730199132163664,0.4653799459498929,3.781921776645302,4.146357376267398
AMMO_ODE,0.1,7.0,0.006522473998279392,-0.15522793346804845,0.4653799459498929,4.374992989335092,4.146357376267398
AMMO_ODE,0.1,8.0,0.0065536716335976375,-0.15665789142746875,0.4653799459498929,4.219989177696602,4.146357376267398
AMMO_ODE,0.1,9.0,0.006565792365401665,-0.15736488110329583,0.4653799459498929,4.167047283428079,4.146357376267398
